bounding boxes
x1,y1,width,height
255,93,26,26
254,91,27,27
255,90,26,26
256,88,26,26
256,83,28,28
256,83,26,26
315,135,28,28
257,82,27,27
257,81,26,26
316,133,29,29
257,78,29,29
317,132,29,29
258,78,28,28
319,132,28,28
257,76,28,28
258,76,28,28
320,131,28,28
258,75,28,28
321,131,27,27
258,73,28,28
321,130,28,28
258,72,28,28
322,129,28,28
257,70,31,31
322,127,30,30
258,70,29,29
325,128,27,27
258,69,29,29
323,127,30,30
260,69,27,27
325,127,29,29
260,67,28,28
325,126,30,30
259,66,30,30
325,125,30,30
259,65,29,29
328,126,28,28
259,63,30,30
328,124,29,29
329,124,29,29
258,62,31,31
261,62,29,29
329,122,31,31
260,61,30,30
330,122,31,31
332,123,29,29
259,60,31,31
260,58,33,33
332,122,30,30
261,58,30,30
332,121,31,31
260,56,33,33
334,120,30,30
261,54,32,32
334,119,31,31
261,53,32,32
335,118,33,33
262,53,31,31
336,118,32,32
262,51,33,33
338,118,30,30
263,51,31,31
338,116,31,31
338,116,33,33
262,49,33,33
262,47,34,34
339,115,33,33
262,46,34,34
341,115,32,32
262,45,34,34
341,114,34,34
264,44,33,33
340,112,35,35
262,41,36,36
342,111,35,35
344,111,33,33
263,40,36,36
344,111,34,34
262,38,37,37
263,37,36,36
346,110,35,35
264,37,35,35
347,109,35,35
265,35,35,35
346,107,37,37
263,33,36,36
347,107,37,37
262,29,40,40
348,105,37,37
263,28,39,39
349,105,36,36
263,28,38,38
348,101,40,40
263,26,38,38
350,103,38,38
349,101,40,40
262,23,41,41
262,22,41,41
352,101,39,39
351,100,40,40
262,21,41,41
262,19,41,41
350,98,42,42
264,18,39,39
351,96,44,44
262,16,41,41
354,97,41,41
261,14,43,43
353,95,43,43
355,93,43,43
263,14,40,40
260,10,44,44
355,92,44,44
261,8,44,44
355,92,44,44
262,8,43,43
357,92,43,43
261,5,44,44
356,89,46,46
358,89,45,45
262,4,44,44
263,4,41,41
359,88,44,44
265,3,40,40
359,86,47,47
268,2,37,37
360,86,45,45
269,1,36,36
363,84,44,44
363,82,47,47
363,81,47,47
363,78,50,50
366,78,47,47
364,77,50,50
365,75,51,51
366,75,50,50
368,74,50,50
369,73,51,51
369,71,52,52
370,71,52,52
374,71,49,49
372,68,53,53
375,68,52,52
374,66,54,54
376,66,53,53
378,66,52,52
378,64,54,54
379,63,55,55
379,61,56,56
383,61,54,54
383,59,55,55
384,57,55,55
385,56,55,55
385,54,56,56
385,52,57,57
388,52,56,56
389,51,57,57
391,50,56,56
390,48,58,58
394,48,56,56
395,47,57,57
394,44,60,60
397,44,58,58
397,42,60,60
400,41,60,60
401,39,59,59
401,37,61,61
404,37,58,58
405,35,61,61
406,34,61,61
408,33,60,60
407,30,64,64
410,31,60,60
411,28,63,63
411,26,64,64
415,26,61,61
413,22,66,66
417,22,63,63
419,21,64,64
421,18,64,64
422,17,65,65
423,15,65,65
425,14,65,65
426,11,66,66
428,11,65,65
429,9,66,66
431,9,65,65
433,8,65,65
436,7,64,64
437,6,63,63
440,6,61,61
441,4,63,63
445,4,61,61
448,4,60,60
448,3,60,60
453,2,60,60
453,2,59,59
458,1,58,58
461,2,57,57
458,1,59,59
460,2,56,56
